day,home_team,away_team,home_score,away_score
15,AS Saint-Etienne,Girondins de Bordeaux,0 , 2
15,AS Monaco FC,Stade Rennais FC,3 , 2
15,AJ Auxerre,Nîmes Olympique,0 , 0
15,Paris Saint-Germain,LOSC Lille,4 , 5
15,Stade Lavallois,FC Nantes,0 , 1
15,FC Metz,RC Strasbourg,0 , 1
15,Stade Brestois 29,FC Rouen 1899,1 , 0
15,RC Lens,Toulouse FC,0 , 1
15,SC Toulon,AS Nancy-Lorraine,0 , 0
15,SC Bastia,FC Sochaux-Montbéliard,0 , 2
16,FC Rouen 1899,RC Lens,0 , 2
16,Stade Lavallois,FC Metz,1 , 0
16,AS Nancy-Lorraine,Paris Saint-Germain,1 , 2
16,Girondins de Bordeaux,AS Monaco FC,0 , 2
16,FC Sochaux-Montbéliard,AJ Auxerre,3 , 0
16,FC Nantes,SC Toulon,1 , 0
16,LOSC Lille,Stade Rennais FC,2 , 0
16,Toulouse FC,Stade Brestois 29,1 , 0
16,Nîmes Olympique,SC Bastia,0 , 0
16,RC Strasbourg,AS Saint-Etienne,2 , 0
17,AS Monaco FC,RC Strasbourg,1 , 0
17,Paris Saint-Germain,Girondins de Bordeaux,2 , 1
17,AJ Auxerre,AS Nancy-Lorraine,4 , 0
17,Stade Brestois 29,FC Nantes,0 , 1
17,RC Lens,Stade Lavallois,2 , 1
17,SC Bastia,LOSC Lille,1 , 0
17,AS Saint-Etienne,FC Rouen 1899,1 , 0
17,SC Toulon,FC Sochaux-Montbéliard,1 , 0
17,Stade Rennais FC,Nîmes Olympique,2 , 1
17,FC Metz,Toulouse FC,1 , 3
18,RC Lens,SC Toulon,5 , 1
18,Stade Lavallois,Stade Brestois 29,2 , 1
18,FC Rouen 1899,AS Monaco FC,1 , 0
18,Girondins de Bordeaux,AJ Auxerre,4 , 1
18,FC Nantes,FC Metz,2 , 1
18,RC Strasbourg,Paris Saint-Germain,0 , 0
18,Toulouse FC,AS Saint-Etienne,2 , 1
18,FC Sochaux-Montbéliard,Stade Rennais FC,1 , 0
18,Nîmes Olympique,LOSC Lille,2 , 2
18,AS Nancy-Lorraine,SC Bastia,1 , 3
19,Stade Brestois 29,RC Lens,2 , 1
19,SC Bastia,Girondins de Bordeaux,1 , 3
19,AS Monaco FC,Toulouse FC,2 , 3
19,AS Saint-Etienne,FC Nantes,0 , 0
19,AJ Auxerre,RC Strasbourg,3 , 0
19,LOSC Lille,FC Sochaux-Montbéliard,1 , 2
19,SC Toulon,Stade Lavallois,2 , 2
19,FC Metz,Nîmes Olympique,2 , 1
19,Stade Rennais FC,AS Nancy-Lorraine,2 , 1
19,Paris Saint-Germain,FC Rouen 1899,2 , 0
20,Girondins de Bordeaux,FC Sochaux-Montbéliard,3 , 0
20,FC Nantes,AJ Auxerre,1 , 2
20,Stade Lavallois,AS Monaco FC,2 , 0
20,SC Toulon,Paris Saint-Germain,1 , 0
20,Toulouse FC,Stade Rennais FC,3 , 1
20,RC Strasbourg,LOSC Lille,1 , 1
20,RC Lens,AS Saint-Etienne,2 , 1
20,FC Rouen 1899,SC Bastia,1 , 2
20,Stade Brestois 29,FC Metz,0 , 2
20,AS Nancy-Lorraine,Nîmes Olympique,2 , 1
21,AS Monaco FC,RC Lens,3 , 1
21,Nîmes Olympique,Girondins de Bordeaux,1 , 2
21,AJ Auxerre,Toulouse FC,1 , 1
21,Paris Saint-Germain,FC Nantes,0 , 0
21,Stade Rennais FC,RC Strasbourg,3 , 0
21,SC Bastia,Stade Lavallois,3 , 0
21,LOSC Lille,FC Rouen 1899,0 , 1
21,FC Sochaux-Montbéliard,AS Nancy-Lorraine,0 , 1
21,FC Metz,SC Toulon,2 , 0
21,AS Saint-Etienne,Stade Brestois 29,1 , 0
22,Girondins de Bordeaux,LOSC Lille,5 , 2
22,Stade Brestois 29,AS Monaco FC,0 , 1
22,RC Lens,Paris Saint-Germain,0 , 3
22,FC Nantes,AS Nancy-Lorraine,2 , 1
22,Stade Lavallois,AJ Auxerre,1 , 0
22,Toulouse FC,SC Bastia,4 , 0
22,RC Strasbourg,FC Sochaux-Montbéliard,0 , 0
22,FC Rouen 1899,Nîmes Olympique,3 , 0
22,FC Metz,AS Saint-Etienne,1 , 0
22,SC Toulon,Stade Rennais FC,0 , 1
23,AS Monaco FC,FC Metz,2 , 2
23,Stade Rennais FC,FC Nantes,1 , 2
23,AJ Auxerre,RC Lens,4 , 0
23,Paris Saint-Germain,Stade Lavallois,0 , 0
23,LOSC Lille,Toulouse FC,0 , 0
23,Nîmes Olympique,RC Strasbourg,0 , 3
23,SC Bastia,Stade Brestois 29,2 , 1
23,AS Nancy-Lorraine,Girondins de Bordeaux,0 , 2
23,FC Sochaux-Montbéliard,FC Rouen 1899,1 , 1
23,AS Saint-Etienne,SC Toulon,1 , 0
24,SC Toulon,Girondins de Bordeaux,1 , 0
24,FC Nantes,LOSC Lille,2 , 1
24,FC Metz,Paris Saint-Germain,1 , 1
24,Stade Brestois 29,AJ Auxerre,2 , 0
24,Toulouse FC,Nîmes Olympique,5 , 0
24,RC Strasbourg,AS Nancy-Lorraine,1 , 1
24,Stade Lavallois,FC Sochaux-Montbéliard,1 , 1
24,FC Rouen 1899,Stade Rennais FC,1 , 0
24,RC Lens,SC Bastia,1 , 0
24,AS Saint-Etienne,AS Monaco FC,0 , 1
25,Girondins de Bordeaux,RC Strasbourg,2 , 0
25,AS Monaco FC,SC Toulon,1 , 0
25,Nîmes Olympique,FC Nantes,1 , 0
25,AJ Auxerre,FC Metz,6 , 1
25,Stade Rennais FC,RC Lens,1 , 1
25,LOSC Lille,Stade Lavallois,1 , 0
25,AS Nancy-Lorraine,FC Rouen 1899,2 , 0
25,SC Bastia,AS Saint-Etienne,2 , 1
25,Paris Saint-Germain,Stade Brestois 29,1 , 1
25,FC Sochaux-Montbéliard,Toulouse FC,1 , 0
26,FC Rouen 1899,Girondins de Bordeaux,1 , 0
26,AS Monaco FC,Paris Saint-Germain,0 , 1
26,FC Nantes,FC Sochaux-Montbéliard,1 , 1
26,AS Saint-Etienne,AJ Auxerre,0 , 0
26,Toulouse FC,AS Nancy-Lorraine,1 , 0
26,RC Lens,RC Strasbourg,2 , 2
26,Stade Lavallois,Nîmes Olympique,1 , 0
26,SC Toulon,SC Bastia,1 , 0
26,FC Metz,LOSC Lille,1 , 0
26,Stade Brestois 29,Stade Rennais FC,1 , 1
27,Girondins de Bordeaux,Toulouse FC,0 , 0
27,AJ Auxerre,AS Monaco FC,0 , 0
27,Paris Saint-Germain,AS Saint-Etienne,3 , 1
27,SC Bastia,FC Nantes,1 , 0
27,Stade Rennais FC,Stade Lavallois,1 , 1
27,LOSC Lille,RC Lens,3 , 1
27,FC Sochaux-Montbéliard,FC Metz,2 , 0
27,Nîmes Olympique,SC Toulon,1 , 0
27,AS Nancy-Lorraine,Stade Brestois 29,1 , 1
27,RC Strasbourg,FC Rouen 1899,0 , 0
28,FC Nantes,Girondins de Bordeaux,0 , 1
28,AS Monaco FC,SC Bastia,1 , 0
28,Paris Saint-Germain,AJ Auxerre,1 , 2
28,Toulouse FC,RC Strasbourg,1 , 0
28,Stade Lavallois,AS Nancy-Lorraine,1 , 1
28,RC Lens,FC Sochaux-Montbéliard,1 , 0
28,FC Metz,FC Rouen 1899,1 , 1
28,SC Toulon,LOSC Lille,0 , 3
28,Stade Brestois 29,Nîmes Olympique,2 , 0
28,AS Saint-Etienne,Stade Rennais FC,1 , 0
