start	short_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2014	Bastia	0	90.4	67.1	150.68999	19.61046	0	0	0	0	0	0	0
2014	Bastia	0	94.7	28.8	14.03624	21.85246	0	0	0	0	0	0	0
2014	Bastia	0	76.9	61.8	117.05897	25.93935	0	1	0	0	0	0	0
2014	Bastia	0	84.4	61.4	126.15819	19.32149	0	1	1	0	1	0	0
2014	Bastia	0	86.1	55.3	110.8716	14.87616	0	0	0	0	0	0	1
2014	Bastia	0	92.6	48.2	76.32869	7.61577	1	1	0	0	0	0	0
2014	Bastia	0	72.4	38	66.50143	30.09585	0	0	0	0	0	0	1
2014	Bastia	0	74.6	27.7	48.7184	33.80015	0	0	0	0	0	0	0
2014	Bastia	0	89.7	31	28.46235	21.61227	0	0	0	0	0	0	0
2014	Bastia	0	80.5	33.2	49.25384	25.73888	0	0	0	0	0	0	0
2014	Bastia	0	81.6	63.3	125.86038	22.70352	0	0	0	0	0	0	0
2014	Bastia	0	82	57.9	113.69614	19.65731	0	1	0	0	0	0	0
2014	Bastia	0	75.4	23.1	42.44286	36.4523	0	0	0	0	0	0	0
2014	Bastia	0	91.3	49.5	86.71076	8.71436	1	1	0	0	0	0	0
2014	Bastia	0	87.3	71.5	149.42975	24.97078	0	0	0	1	0	0	0
2014	Bastia	0	99.2	33.6	2.7927	16.4195	0	0	0	0	0	0	0
2014	Bastia	0	78.2	34.7	54.93748	26.63325	0	0	0	1	0	0	0
2014	Bastia	0	73.8	53.4	97.39401	26.41969	0	1	1	0	0	0	0
2014	Bastia	0	95.3	58.5	151.05999	9.71288	0	1	0	0	0	0	0
2014	Bastia	0	93.2	63.3	152.92033	14.93754	0	1	1	0	0	0	0
2014	Bastia	0	69.5	33.1	61.00924	34.86918	0	0	0	0	0	0	0
2014	Bastia	0	86.8	54	106.8584	13.79275	0	1	0	0	0	0	0
2014	Bastia	0	75.4	75	135.46205	35.07364	0	0	0	0	0	0	0
2014	Bastia	0	78.2	22.8	38.71115	34.858	0	0	0	0	0	0	0
2014	Bastia	0	85.5	34.2	42.54327	21.44505	0	0	0	0	0	0	0
2014	Bastia	0	78.4	38.6	62.1759	24.42376	0	0	1	0	0	0	0
2014	Bastia	0	88.3	40.1	49.76364	15.32645	0	0	0	0	0	0	0
2014	Bastia	1	77.1	54.2	100.39289	23.28197	0	0	0	0	0	0	0
2014	Bastia	0	90.5	33.7	30.23458	18.86637	1	1	0	0	0	0	0
2014	Bastia	1	85.9	47.2	78.76823	14.37533	0	0	0	0	0	0	0
2014	Bastia	0	75	23.7	43.54837	36.28622	0	0	0	0	0	0	0
2014	Bastia	0	70.2	75.2	130.21912	39.02666	0	0	0	0	0	0	0
2014	Bastia	0	71.1	34.5	61.79391	32.79421	0	0	0	0	0	0	0
2014	Bastia	0	74.2	53.4	97.50735	26.02307	0	0	0	0	0	0	0
2014	Bastia	0	82.3	66.4	132.81676	24.12986	0	1	0	0	0	0	0
2014	Bastia	0	93	29.5	18.85316	21.66218	0	0	0	0	0	0	0
2014	Bastia	0	81.3	31.8	45.77632	26.09464	0	0	0	0	0	0	1
2014	Bastia	0	70	62.5	112.61986	32.5	0	1	1	0	0	0	0
2014	Bastia	0	76.6	75.8	137.7927	34.83102	0	0	0	0	0	0	0
2014	Bastia	0	93.4	41.3	37.18471	10.92016	0	1	1	0	0	0	0
2014	Bastia	0	81.1	43.9	72.11245	19.86001	0	0	0	0	0	0	0
2014	Bastia	0	76.1	83.4	144.41367	41.07031	0	0	0	0	0	0	0
2014	Bastia	0	77.6	26.6	43.7492	32.39321	0	0	0	0	0	1	0
2014	Bastia	1	82.5	29.3	40.21153	27.10609	0	0	0	0	0	0	0
2014	Bastia	1	90.7	52.4	104.47029	9.60469	1	1	0	0	0	0	0
2014	Bastia	0	75.1	32.6	55.05434	30.37713	0	0	0	0	0	0	0
2014	Bastia	0	90	42.4	52.76517	12.56025	0	1	0	0	0	0	0
2014	Bastia	0	68.3	62.1	110.89203	33.93081	0	0	0	0	0	0	0
2014	Bastia	0	92.2	69.9	158.59682	21.37405	0	0	0	1	0	0	0
2014	Bastia	0	89.6	34	33.02387	19.08298	0	0	0	0	0	0	0
2014	Bastia	0	86.7	52.1	98.97263	13.46477	0	1	0	0	0	0	1
2014	Bastia	0	87.5	42.3	58.36693	14.68128	0	0	0	0	0	0	0
2014	Bastia	0	81.5	32	45.78482	25.81182	0	1	0	0	0	0	0
2014	Bastia	0	91.8	62	145.6539	14.5341	0	0	0	0	0	0	0
2014	Bastia	0	93.3	65.5	156.6232	16.88609	0	1	0	0	0	0	0
2014	Bastia	0	81.5	28.2	40.31873	28.59178	0	0	0	0	0	0	0
2014	Bastia	0	88.7	33.2	33.92553	20.24673	0	1	1	0	0	0	0
2014	Bastia	0	93.3	52.5	110.46227	7.15122	1	1	1	0	0	0	0
2014	Bastia	0	73.1	69.9	126.49318	33.46072	0	0	0	0	0	0	0
2014	Bastia	1	90	66	147.99462	18.86796	0	0	0	0	0	0	0
2014	Bastia	0	93.6	68	160.42687	19.10393	0	0	0	0	0	0	0
2014	Bastia	0	83.3	40.8	61.14971	19.06646	0	0	0	0	0	0	0
2014	Bastia	0	72.5	42.6	74.93898	28.47824	0	0	0	0	0	0	0
2014	Bastia	0	89.3	30.4	28.63094	22.33047	0	1	0	0	0	0	0
2014	Bastia	0	72.5	27.2	50.33818	35.7224	0	1	0	1	0	0	0
2014	Bastia	1	92.8	59.8	143.6955	12.16059	1	1	0	0	0	0	0
2014	Bastia	0	89.6	57.7	126.51568	12.94025	0	1	0	0	0	0	0
2014	Bastia	0	84.2	76.8	149.47843	31.11077	0	0	0	0	0	0	0
2014	Bastia	0	81.4	31.5	45.15444	26.23376	0	0	0	0	0	0	0
2014	Bastia	0	78.7	68.8	131.43256	28.41003	0	0	0	0	0	0	0
2014	Bastia	0	75.2	66.2	123.15361	29.62229	0	0	0	0	0	0	0
2014	Bastia	0	67.8	31.8	60.52411	36.98757	0	0	0	0	0	0	0
2014	Bastia	0	76.2	22.6	40.97801	36.29325	0	0	0	0	0	0	0
2014	Bastia	0	90.1	38	39.52263	15.55667	0	1	0	0	0	0	0
2014	Bastia	0	91	64.8	148.69588	17.32166	0	1	0	0	0	0	0
2014	Bastia	0	75.2	54.7	100.73121	25.24143	0	0	0	0	0	0	0
2014	Bastia	0	92.6	36.7	29.09117	15.22005	0	0	0	0	0	0	0
2014	Bastia	0	93	50.7	95.71059	7.03491	1	1	0	0	0	0	0
2014	Bastia	0	77	38.6	63.63458	25.67022	0	0	0	0	0	0	0
2014	Bastia	0	84.4	34.8	45.74406	21.78073	0	1	0	0	0	0	0
2014	Bastia	0	95.4	22.1	9.36239	28.27667	0	0	0	0	1	0	0
2014	Bastia	0	73.2	54.4	99.32359	27.15879	0	0	0	0	0	0	0
2014	Bastia	0	85.3	51	93.89168	14.73397	1	1	0	0	0	0	0
2014	Bastia	0	91.3	70.3	156.80141	22.08574	0	0	0	0	0	0	0
2014	Bastia	1	95.1	58.8	150.89014	10.07224	1	1	1	0	0	0	0
2014	Bastia	1	79.6	60.2	116.56505	22.80789	0	1	1	0	0	0	0
2014	Bastia	0	87.2	22.7	25.12021	30.15178	0	0	0	0	0	0	0
2014	Bastia	1	93.7	51.1	99.90418	6.39531	0	1	0	0	0	0	0
2014	Bastia	1	95.4	59	152.92792	10.10742	0	0	0	0	0	0	0
2014	Bastia	0	80.8	23.5	35.92439	32.72446	0	0	0	0	0	0	0
2014	Bastia	0	73.1	44	77.4261	27.56102	0	0	0	0	0	0	0
2014	Bastia	0	79	43.1	71.81095	22.10452	0	0	0	0	0	0	0
2014	Bastia	0	78.6	47.7	83.86559	21.52324	0	0	0	0	0	0	0
2014	Bastia	0	80.1	52.8	98.00914	20.09602	0	0	0	0	0	0	0
2014	Bastia	0	77.5	53.4	98.59302	22.75544	0	0	0	0	0	0	0
2014	Bastia	0	74	46.1	81.46923	26.29087	0	0	0	0	0	0	1
2014	Bastia	0	79.2	47.9	84.23487	20.90574	0	1	0	0	0	0	0
2014	Bastia	0	74.8	45.2	79.2157	25.65307	0	0	0	0	0	0	0
2014	Bastia	0	79	45.3	77.38456	21.51953	0	0	0	0	0	0	0
2014	Bastia	1	73.2	47.7	85.09484	26.89851	0	0	0	0	0	0	0
2014	Bastia	0	94.2	49.7	87.03906	5.80775	0	0	0	0	0	0	0
2014	Bastia	0	84.9	53	101.23694	15.39513	0	0	0	0	0	0	0
2014	Bastia	0	83.6	53.9	103.37675	16.85734	0	0	0	0	0	0	0
2014	Bastia	0	71.8	52	94.05674	28.27083	0	0	0	0	0	0	0
2014	Bastia	0	76.7	40.2	67.18834	25.27706	0	0	0	0	0	0	0
2014	Bastia	0	79.5	57.2	109.35227	21.72763	0	0	0	0	0	0	0
2014	Bastia	0	71.5	78.5	135	40.30509	0	0	0	0	0	0	0
2014	Bastia	0	98.5	54.8	162.64598	5.02892	1	1	1	0	0	0	1
2014	Bordeaux	0	71.9	45.6	81.10068	28.4424	0	1	0	0	0	0	0
2014	Bordeaux	0	90.9	44.1	57.04258	10.84528	1	1	0	0	0	0	0
2014	Bordeaux	0	69.9	51.3	92.47303	30.12806	0	0	0	0	0	0	0
2014	Bordeaux	0	77.5	31.4	50.4206	29.19264	0	0	0	0	0	0	0
2014	Bordeaux	0	95.3	50.1	91.21888	4.70106	1	1	0	0	0	0	1
2014	Bordeaux	0	93.6	46	57.99462	7.54718	0	0	0	0	0	0	0
2014	Bordeaux	0	96	55.3	142.95753	6.64003	0	0	1	0	0	0	0
2014	Bordeaux	0	84.5	54.6	106.52953	16.16818	0	0	0	0	0	0	0
2014	Bordeaux	0	87.6	65.5	141.34019	19.84969	0	0	0	0	0	0	0
2014	Bordeaux	0	81.3	64.2	127.21152	23.48042	0	0	0	0	0	0	0
2014	Bordeaux	0	93.4	30.1	18.34853	20.96592	0	0	0	0	0	0	0
2014	Bordeaux	0	70.2	66.6	119.11986	34.11158	0	0	0	0	0	0	0
2014	Bordeaux	0	90.1	48.5	81.38435	10.01299	1	1	0	0	0	0	0
