kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-11-25	Stade Vélodrome	Marseille	Lille	1 - 0	1	0	1	0	0	1	1670	1721	51	11.5	-17.98511	10.86218
2012-11-28	Stade Vélodrome	Marseille	Lyon	1 - 4	1	4	0	0	1	3	1677	1726	49	8.6	0.13013	4.32788
2012-11-30	Stade Francois-Coty	Ajaccio	St Etienne	0 - 0	0	0	0	1	0	2	1561	1662	101	2.8	5.34338	28.80591
2012-12-01	Stade de Gerland	Lyon	Montpellier	1 - 0	1	0	1	0	0	1	1741	1676	65	8.2	19.39636	1.84412
2012-12-01	Grand Stade Lille Métropole	Lille	Bastia	0 - 0	0	0	0	1	0	2	1713	1518	195	5.1	2.1825	-6.59875
2012-12-01	Stade Jacques Chaban-Delmas	Bordeaux	Sochaux	2 - 2	2	2	0	1	0	2	1721	1555	166	4.4	32.13794	10.50793
2012-12-01	Stade du Hainaut	Valenciennes	Reims	1 - 0	1	0	1	0	0	1	1625	1524	101	7.2	13.68018	-12.1825
2012-12-01	Stade du Ray	Nice	PSG	2 - 1	2	1	1	0	0	1	1598	1776	178	14.7	33.92456	-0.56323
2012-12-01	Parc des Sports, Annecy	Evian	Nancy	1 - 1	1	1	0	1	0	2	1575	1528	47	1.3	13.72876	-10.677
2012-12-02	Stade Francis-le Blé	Brest	Marseille	1 - 2	1	2	0	0	1	3	1567	1662	95	7.3	23.3053	-14.93823
2012-12-02	Stade de l'Aube	Troyes	Rennes	2 - 3	2	3	0	0	1	3	1473	1649	176	5.3	2.34241	22.03101
2012-12-02	Stade du Moustoir	Lorient	Toulouse	1 - 0	1	0	1	0	0	1	1565	1644	79	12.2	-9.87793	-8.85583
2012-12-07	Stadium Municipal	Toulouse	Bastia	0 - 0	0	0	0	1	0	2	1636	1525	111	3.1	-11.40833	4.26318
2012-12-08	Parc des Princes	PSG	Evian	4 - 0	4	0	1	0	0	1	1770	1568	202	4.8	4.37622	16.30286
2012-12-08	Stade de l'Aube	Troyes	Nice	1 - 1	1	1	0	1	0	2	1463	1605	142	3.9	-9.43469	36.11206
2012-12-08	Stade Bonal	Sochaux	Lille	1 - 1	1	1	0	1	0	2	1557	1694	137	3.8	20.07678	-24.6936
2012-12-08	Stade de la Route-de-Lorient	Rennes	Brest	2 - 2	2	2	0	1	0	2	1650	1555	95	2.7	20.74158	3.06616
2012-12-08	Stade Marcel Picot	Nancy	Valenciennes	1 - 1	1	1	0	1	0	2	1528	1625	97	2.7	-4.62817	8.35254
