start	name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict	count	ratio
2015	Djibril Sidibe	1	1097.8	782.6	1513.93364694	287.553768129	3	2	1	0	1	0	0	0.709358409496	13	0.0545660314997
2015	Dorian Leveque	0	173.8	147.1	301.51331359	54.013416386	0	2	0	0	0	0	0	0.0625149420201	2	0.03125747101
2015	Edinson Cavani	6	2430.4	1488.0	2773.89292785	469.730488164	9	10	0	0	2	2	1	3.65699708738	28	0.130607038835
2015	Emiliano Sala	0	943.0	536.5	927.494422222	201.257097569	3	6	3	0	0	0	0	1.26794489607	11	0.115267717825
2015	Emmanuel Imorou	1	94.9	57.9	147.154941697	9.40319094776	0	1	0	0	0	0	0	0.345558263895	1	0.345558263895
2015	Enzo Crivelli	1	604.6	343.7	613.872710139	111.831667241	2	3	2	0	1	0	0	1.10844673774	7	0.158349533963
2015	Ermir Lenjani	1	167.8	136.9	284.850910296	49.7973176923	0	0	0	0	0	0	0	0.148497624459	2	0.0742488122294
2015	Ezequiel Lavezzi	1	598.0	407.6	826.722936743	135.672378948	0	2	0	0	0	0	0	0.870441095411	7	0.124348727916
2015	Fabien Camus	1	772.0	472.8	857.449832605	286.615400322	0	1	1	0	0	0	0	0.314975334872	10	0.0314975334872
2015	Fabien Lemoine	0	318.0	144.5	219.779705185	110.094944209	0	2	2	0	1	0	0	0.0946150043325	4	0.0236537510831
2015	Fabinho	0	164.5	73.8	90.8743569575	51.0559820002	0	2	0	0	0	0	0	0.102032655363	2	0.0510163276813
2015	Fallou Diagne	1	255.6	142.2	291.518125666	53.7791021282	2	3	1	0	0	0	0	0.245644322183	3	0.0818814407275
2015	Fares Bahlouli	0	71.8	26.6	50.3145456699	36.644235563	0	0	0	0	0	0	0	0.00632393185678	1	0.00632393185678
2015	Ferebory Dore	0	948.9	561.2	1053.10223008	191.592379195	1	3	1	0	1	0	1	1.35736667967	11	0.123396970879
2015	Florent Balmont	0	530.8	303.0	516.958842901	207.868783379	0	2	1	0	0	0	0	0.1400708436	7	0.0200101205143
2015	Florentin Pogba	0	252.4	173.0	364.998925364	58.7760116793	1	2	1	0	0	0	0	0.189949328051	3	0.0633164426837
2015	Florian Marange	0	91.2	39.5	39.9662130438	13.7	1	1	1	0	1	0	0	0.0453891130394	1	0.0453891130394
2015	Florian Thauvin	0	163.4	120.8	234.960977183	47.0862489027	0	0	0	0	0	0	0	0.105499561863	2	0.0527497809316
2015	Floyd Ayité	2	1769.7	983.6	1609.06152219	449.959798014	1	7	2	0	0	0	1	1.8013972871	21	0.0857808231955
2015	Francois Bellugou	0	74.9	26.2	46.5228419911	34.5897383627	0	0	0	0	0	0	0	0.00873670107851	1	0.00873670107851
2015	Francois Clerc	0	168.4	55.2	70.3921333581	54.8243271239	0	0	0	0	0	0	0	0.0535899056803	2	0.0267949528402
2015	Francois Kamano	1	847.0	512.0	928.885237632	225.37918474	1	2	2	0	1	0	2	0.819022569625	10	0.0819022569625
2015	Frederic Guilbert	0	391.5	206.0	358.123942719	130.672615619	0	2	2	0	0	0	0	0.188204470328	5	0.0376408940656
2015	Frédéric Bulot	1	726.8	389.0	696.7007976	240.032827215	0	2	0	0	0	0	0	0.388759130306	9	0.0431954589229
2015	Fábio Coentrão	1	179.1	118.7	257.199782673	29.2760691101	0	2	1	0	0	0	0	0.330340540983	2	0.165170270491
2015	Gaël Danic	2	680.0	335.1	561.888852935	166.68818201	0	3	1	0	1	0	0	0.705765774301	8	0.0882207217876
2015	Gaëtan Charbonnier	1	179.8	134.0	175.623451875	59.3705372862	0	1	1	0	0	0	0	0.261564914607	2	0.130782457303
2015	Georges-Kévin Nkoudou Mbida	0	571.9	361.4	633.186958028	161.783850393	0	1	0	0	0	1	0	0.463230892613	7	0.0661758418019
2015	Gilles Cioni	0	149.8	63.8	108.932309683	61.9034515484	0	1	0	0	0	0	0	0.0504963265874	2	0.0252481632937
2015	Gilles Sunu	1	809.3	521.4	964.668775196	249.094112426	1	1	1	0	0	0	0	0.537788561455	10	0.0537788561455
2015	Giovanni Sio	4	2546.4	1384.0	2466.83430736	494.288555103	11	16	2	1	0	0	0	3.58640260358	29	0.123669055296
2015	Goran Karanoviç	0	167.6	60.5	78.4558557068	51.0992927746	0	1	0	0	0	0	0	0.078252330827	2	0.0391261654135
2015	Grejohn Kyei	1	706.7	372.9	538.399135624	110.921224496	4	4	2	0	0	0	0	1.14848347067	8	0.143560433833
2015	Grégory Pujol	2	1191.6	622.0	1030.52045467	269.09080083	3	4	1	0	1	0	1	1.47567350372	14	0.105405250265
2015	Guido Carrillo	0	1183.6	697.7	1336.54382834	155.923089757	4	6	2	0	0	0	1	2.67539687439	13	0.205799759569
2015	Hamari Traore	1	307.1	116.7	189.116437844	126.531110168	0	2	1	0	0	0	0	0.0728064734891	4	0.0182016183723
2015	Hatem Ben Arfa	6	2049.6	1268.4	2304.60027628	598.058048819	0	2	2	0	0	0	0	1.92882035003	25	0.0771528140013
2015	Henri Bedimo	0	209.0	177.3	319.901491562	99.6881227891	0	2	2	0	0	0	0	0.0280507129739	3	0.00935023765797
2015	Henri Bienvenu	0	344.5	208.0	389.059659557	77.4081479529	1	1	0	0	0	0	0	0.504674968896	4	0.126168742224
2015	Henri Saivet	1	1213.7	782.6	1494.97597334	347.467949195	4	7	3	0	0	0	0	0.618600297239	15	0.0412400198159
2015	Herve Bazile	0	739.8	449.4	877.240521516	249.871500109	0	0	0	0	0	1	0	0.745584868029	9	0.0828427631143
2015	Hilton	0	891.3	424.0	621.638663002	158.083423647	9	6	4	0	0	0	0	0.580787963182	10	0.0580787963182
2015	Ibrahim Amadou	0	242.9	168.9	287.240352249	64.2623089615	1	2	0	0	0	0	0	0.298768829664	3	0.0995896098879
2015	Isaac Thelin	0	335.2	192.7	280.402076495	70.7906501204	1	1	1	0	0	0	0	0.470375336642	4	0.11759383416
2015	Ismael Diomande	0	213.6	120.5	217.829179681	92.0336836835	0	0	0	0	0	0	0	0.0763510759631	3	0.0254503586544
