goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
0	42.21698	20.38872	0	0	0	0	0	0	0
0	126.32683	8.44038	0	0	0	0	0	0	0
0	107.25265	16.85853	0	1	0	0	0	0	0
0	70.46335	26.31501	0	1	1	0	0	0	0
0	134.23098	21.07368	0	0	0	0	0	0	0
0	61.8584	4.87647	0	1	0	0	0	0	0
0	97.40691	10.08415	1	1	1	0	0	0	0
0	15.76718	8.83233	0	1	0	0	0	0	0
0	148.71735	27.73175	0	0	0	0	0	0	0
0	111.60553	10.86324	1	1	1	0	0	0	0
0	128.13745	32.54796	0	0	0	0	0	0	0
0	119.45147	26.64301	0	0	0	0	0	0	0
0	98.51292	31.7498	0	0	0	0	0	0	0
0	122.00538	9.43398	1	1	0	0	0	0	0
0	137.97373	10.90413	1	1	0	0	0	0	0
0	58.41618	15.8474	0	1	1	0	0	0	0
0	141.86643	13.60331	0	0	0	0	0	0	0
0	108.64179	8.75957	0	0	0	0	0	0	0
0	141.98362	31.9864	0	1	1	0	0	0	0
0	130.39713	33.48343	0	0	0	0	0	0	0
0	63.34721	29.20308	0	0	0	0	0	0	0
0	84.49959	13.56245	0	0	0	0	0	0	0
0	75.70967	32.81539	0	0	0	0	0	0	0
0	107.08706	26.8868	0	0	0	0	0	0	0
1	83.90414	10.35857	0	0	0	0	0	0	0
0	137.63243	36.94997	0	0	0	0	0	0	0
0	117.62775	26.52433	0	0	0	0	0	0	0
0	55.87506	29.23354	0	0	0	0	0	0	0
0	66.82908	27.19357	0	0	0	0	0	0	0
0	69.79143	17.36923	0	1	0	0	0	0	0
0	37.95928	17.88323	1	0	0	0	0	0	0
1	99.58294	7.80897	0	0	0	0	0	0	0
