day,home_team,away_team,home_score,away_score
21,AS Red Star 93,Nîmes Olympique,3 , 3
22,FC Nantes,Stade Français,2 , 1
22,Valenciennes FC,Nîmes Olympique,3 , 0
22,Girondins de Bordeaux,Toulouse FC,3 , 0
22,AS Saint-Etienne,FC Sochaux-Montbéliard,3 , 1
22,OGC Nice,Olympique Lyonnais,4 , 2
22,LOSC Lille,AS Cannes,2 , 0
22,FC Rouen 1899,AS Monaco FC,1 , 2
22,CS Sedan,RC Strasbourg,0 , 0
22,Angers SCO,RC Lens,3 , 2
22,AS Red Star 93,Stade Rennais FC,0 , 2
23,Angers SCO,FC Nantes,1 , 1
23,Stade Français,Girondins de Bordeaux,2 , 4
23,RC Strasbourg,Valenciennes FC,0 , 0
23,Toulouse FC,AS Saint-Etienne,2 , 0
23,Nîmes Olympique,CS Sedan,1 , 0
23,RC Lens,LOSC Lille,2 , 0
23,AS Monaco FC,OGC Nice,0 , 3
23,FC Sochaux-Montbéliard,AS Red Star 93,3 , 0
23,Olympique Lyonnais,FC Rouen 1899,0 , 0
23,AS Cannes,Stade Rennais FC,1 , 0
24,FC Nantes,Toulouse FC,2 , 0
24,Girondins de Bordeaux,Angers SCO,2 , 0
24,Valenciennes FC,FC Sochaux-Montbéliard,0 , 0
24,AS Saint-Etienne,AS Cannes,1 , 1
24,FC Rouen 1899,RC Lens,1 , 3
24,CS Sedan,AS Monaco FC,0 , 2
24,AS Red Star 93,RC Strasbourg,2 , 2
24,Stade Rennais FC,Nîmes Olympique,3 , 1
24,LOSC Lille,Olympique Lyonnais,1 , 0
24,OGC Nice,Stade Français,1 , 1
25,FC Nantes,Girondins de Bordeaux,2 , 2
25,AS Monaco FC,Valenciennes FC,0 , 2
25,RC Strasbourg,AS Saint-Etienne,0 , 1
25,RC Lens,Nîmes Olympique,1 , 1
25,FC Sochaux-Montbéliard,Stade Rennais FC,3 , 2
25,Toulouse FC,OGC Nice,2 , 1
25,Olympique Lyonnais,AS Red Star 93,0 , 0
25,Angers SCO,LOSC Lille,3 , 1
25,Stade Français,FC Rouen 1899,0 , 0
25,AS Cannes,CS Sedan,2 , 1
26,OGC Nice,FC Nantes,0 , 0
26,Girondins de Bordeaux,RC Lens,2 , 1
26,Valenciennes FC,AS Cannes,3 , 0
26,AS Saint-Etienne,Angers SCO,4 , 0
26,CS Sedan,Olympique Lyonnais,2 , 0
26,FC Rouen 1899,Toulouse FC,0 , 1
26,AS Red Star 93,AS Monaco FC,2 , 0
26,Nîmes Olympique,FC Sochaux-Montbéliard,1 , 0
26,Stade Rennais FC,RC Strasbourg,2 , 1
26,LOSC Lille,Stade Français,3 , 3
27,FC Nantes,FC Rouen 1899,2 , 1
27,Girondins de Bordeaux,LOSC Lille,1 , 0
27,Stade Français,AS Saint-Etienne,1 , 2
27,RC Lens,OGC Nice,4 , 2
27,Angers SCO,CS Sedan,2 , 0
27,Toulouse FC,FC Sochaux-Montbéliard,1 , 1
27,AS Monaco FC,Stade Rennais FC,1 , 1
27,RC Strasbourg,Nîmes Olympique,1 , 0
27,AS Cannes,AS Red Star 93,1 , 1
27,Olympique Lyonnais,Valenciennes FC,0 , 1
28,LOSC Lille,FC Nantes,0 , 1
28,FC Rouen 1899,Girondins de Bordeaux,0 , 0
28,Valenciennes FC,RC Lens,2 , 0
28,AS Saint-Etienne,Olympique Lyonnais,2 , 1
28,CS Sedan,Toulouse FC,0 , 1
28,FC Sochaux-Montbéliard,RC Strasbourg,2 , 1
28,Nîmes Olympique,AS Monaco FC,4 , 0
28,Stade Rennais FC,Angers SCO,4 , 4
28,OGC Nice,AS Cannes,1 , 1
28,AS Red Star 93,Stade Français,1 , 5
29,FC Nantes,AS Saint-Etienne,5 , 0
29,Girondins de Bordeaux,OGC Nice,0 , 2
29,AS Monaco FC,FC Sochaux-Montbéliard,1 , 1
29,Olympique Lyonnais,Stade Rennais FC,1 , 2
29,LOSC Lille,FC Rouen 1899,2 , 1
29,Stade Français,Valenciennes FC,1 , 1
29,Toulouse FC,AS Red Star 93,1 , 0
29,RC Lens,CS Sedan,1 , 1
29,Angers SCO,RC Strasbourg,0 , 3
29,AS Cannes,Nîmes Olympique,1 , 2
30,AS Red Star 93,FC Nantes,0 , 3
30,Valenciennes FC,Toulouse FC,1 , 1
30,AS Saint-Etienne,RC Lens,2 , 0
30,FC Sochaux-Montbéliard,AS Cannes,3 , 1
30,RC Strasbourg,AS Monaco FC,1 , 1
30,Nîmes Olympique,Olympique Lyonnais,0 , 0
30,FC Rouen 1899,Angers SCO,4 , 0
30,Stade Rennais FC,Girondins de Bordeaux,2 , 0
30,CS Sedan,Stade Français,0 , 0
30,OGC Nice,LOSC Lille,2 , 0
31,FC Nantes,Valenciennes FC,1 , 1
31,Girondins de Bordeaux,CS Sedan,4 , 2
31,LOSC Lille,AS Saint-Etienne,3 , 0
31,Toulouse FC,Nîmes Olympique,3 , 0
31,Olympique Lyonnais,FC Sochaux-Montbéliard,1 , 0
31,AS Cannes,AS Monaco FC,0 , 3
31,RC Lens,RC Strasbourg,0 , 0
31,Stade Français,Stade Rennais FC,2 , 1
31,Angers SCO,AS Red Star 93,2 , 2
31,FC Rouen 1899,OGC Nice,1 , 0
32,CS Sedan,FC Nantes,3 , 0
32,Valenciennes FC,Girondins de Bordeaux,2 , 2
