"goal";"degree";"distance";"start_x";"start_y";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
0;103.916877433301;11.6417352658442;88.7;52.8;1;1;0;0;0;0;0
0;97.9739834502977;25.9509152054412;74.3;53.6;0;0;0;0;0;0;0
0;89.1185960034178;13.001538370516;87;49.8;0;1;0;0;0;0;0
0;55.2006994900927;24.3559027753027;80;36.1;0;0;0;0;0;0;0
0;30.6547684207625;44.5216801120533;77.3;11.7;0;0;0;0;0;0;0
1;143.555558243413;8.0802227692063;95.2;56.5;0;0;0;0;0;0;0
0;43.1988394842776;22.4971109256278;84.6;33.6;0;0;0;0;1;1;0
0;116.358208106301;12.3878973195615;88.9;55.5;1;1;0;0;0;0;0
0;79.9920201985587;25.8940147524481;74.5;45.5;0;1;1;0;0;0;0
0;67.7334117266876;27.4466755728267;74.6;39.6;0;1;1;0;0;0;0
0;57.1237382477894;9.76370831190691;91.8;44.7;0;1;0;0;0;0;1
0;148.530493102323;27.2007352841794;85.8;73.2;0;0;0;0;0;0;0
0;91.7357045889284;29.7136332345945;70.3;50.9;0;0;0;0;0;0;0
1;62.3869721769155;7.33552997403732;93.5;46.6;1;1;0;0;0;0;0
0;13.3187037823021;25.1771722002293;94.2;25.5;0;1;0;0;0;0;0
0;109.727115709172;21.0344954776672;80.2;57.1;0;1;1;0;0;0;0
0;30.827662299868;21.6603324074216;88.9;31.4;0;1;0;0;0;0;0
0;169.143586651938;7.43303437365925;98.6;57.3;1;0;0;0;0;0;0
0;22.6937949450923;11.9230868486311;95.4;39;1;1;1;0;0;0;0
0;9.61972779969885;23.9365828806035;96;26.4;0;0;0;0;0;0;0
0;35.7144069647245;18.8438318820775;89;34.7;0;0;0;0;0;0;1
0;56.0854643589201;28.3176623328975;76.5;34.2;0;0;0;0;0;0;0
0;131.443818905745;12.5399362039845;90.6;58.3;0;1;0;0;0;0;0
0;77.7942853671667;28.8522096207552;71.8;43.9;0;0;0;0;0;0;0
0;123.247067749336;32.2845164126706;73;67.7;0;0;0;0;0;0;0
0;137.231174608031;16.3465592709903;88.9;62;1;1;0;0;0;0;0
0;91.0276167864417;22.3035871554331;77.7;50.4;0;1;1;0;0;0;0
0;130.940653635201;10.987720418722;91.7;57.2;1;1;0;0;0;0;0
1;64.8851651138555;7.06823881882892;93.6;47;0;0;0;0;0;0;0
0;106.476881393688;14.8081058883302;85.8;54.2;1;1;0;0;0;0;0
1;129.650822570471;18.9623310803287;85.4;62.1;0;0;0;0;0;0;0
0;58.7362683056226;6.55133574166367;94.4;46.6;1;1;1;0;0;0;0
0;111.857198932706;19.0709202714499;82.3;57.1;0;1;0;0;0;0;0
0;146.569972047902;36.6660606010518;79.8;80.6;0;0;0;0;0;0;1
0;105.792403528857;10.2883429180797;90.1;52.8;1;1;0;0;0;0;0
0;158.323349771047;34.1123144919837;87.4;81.7;0;0;0;0;0;0;0
0;34.4839536154552;24.0208242989286;86.4;30.2;0;1;0;0;0;0;0
0;48.3830057913306;28.7586508723897;78.5;30.9;0;0;0;0;0;0;0
0;89.807085646467;29.7001683496912;70.3;49.9;0;0;0;0;0;0;0
0;52.6034324127798;30.4612869064982;75.8;31.5;0;0;0;0;0;0;0
0;88.3223605338465;23.9102488485587;76.1;49.3;0;0;0;0;0;0;0
0;52.6789638073687;12.7003936946852;89.9;42.3;1;1;1;0;0;0;0
0;93.9387390838512;30.5722096028403;69.5;52.1;0;0;0;0;0;0;0
0;91.7788003156738;32.2155242080585;67.8;51;0;0;0;0;0;0;0
0;36.2188372656145;8.80056816347672;94.8;42.9;1;1;1;0;0;0;0
0;81.5473176269356;32.6547086956843;67.7;45.2;0;0;0;0;0;0;0
0;85.1115990518753;15.2554908147853;84.8;48.7;0;0;0;0;0;0;0
0;104.225963898752;7.32461603089199;92.9;51.8;0;1;0;0;0;0;0
0;24.7751405688319;21.4767315949145;91;30.5;0;1;0;0;0;0;0
0;40.6791950450155;15.9552499196973;89.6;37.9;0;1;0;0;0;0;0
0;89.2838400545296;8.00062497558785;92;49.9;0;1;0;0;0;0;0
0;76.1593045083444;7.10633520177595;93.1;48.3;1;1;0;0;0;0;0
0;103.70696100408;21.1009478460092;79.5;55;0;0;0;0;0;0;0
0;124.485791078719;25.9624729176556;78.6;64.7;0;0;0;0;0;0;0
0;142.379396566148;33.5828825445345;79.5;76.6;0;0;0;0;0;0;0
0;110.577472211671;31.2968049487484;70.7;61;0;0;0;0;0;0;0
0;81.9727624895681;31.5087289492928;68.8;45.6;0;0;0;0;0;0;0
1;52.3940086425983;18.6815416922694;85.2;38.6;0;0;0;0;0;0;0
1;108.434948822922;12.3328828746567;88.3;53.9;0;1;0;0;0;0;0
0;56.3099324740202;18.3883115048663;84.7;39.8;0;0;0;0;0;0;0
0;58.7607851117913;14.2688471853896;87.8;42.6;0;1;0;0;0;0;0
0;127.951479973487;32.8458520973349;74.1;70.2;0;0;0;0;0;0;0
1;103.722297133134;17.7053664181231;82.8;54.2;0;0;0;0;0;0;0
0;85.2363583092738;10.8374351209131;89.2;49.1;1;1;0;0;0;0;0
0;15.0845396451384;26.5135814253752;93.1;24.4;0;0;0;0;0;0;0
0;36.1251476579643;21.5418197931373;87.3;32.6;0;0;0;0;0;0;0
0;139.42583403645;22.9078589134821;85.1;67.4;0;0;0;0;0;0;0
0;162.439727948199;8.28613299434664;97.5;57.9;0;0;0;0;0;0;0
1;108.434948822922;26.2469045793976;75.1;58.3;0;0;0;0;0;0;0
0;52.3006158238792;40.0641984819365;68.3;25.5;0;0;0;0;0;0;0
0;65.8208928533108;10.7424392015966;90.2;45.6;1;1;0;0;0;0;0
0;84.9117398024624;14.657762448614;85.4;48.7;0;0;0;0;0;0;0
1;100.097504384075;7.41484996476665;92.7;51.3;0;0;1;0;0;0;0
0;62.8620101252385;22.3617977810372;80.1;39.8;0;0;1;0;0;0;0
0;70.1925271294836;25.0840586827571;76.4;41.5;0;1;0;0;0;0;0
1;128.437301491063;8.04300938703916;93.7;55;0;0;0;0;0;0;1
0;5.75826016436677;23.9207023308263;97.6;26.2;0;1;0;0;0;0;0
0;19.1197263299312;15.8757676979729;94.8;35;0;0;0;0;0;0;0
0;98.130102354156;26.1629509039023;74.1;53.7;0;0;0;0;0;0;0
0;42.5104470780008;21.1624667749296;85.7;34.4;0;0;0;0;0;0;0
0;25.5374343906363;9.97446740432791;95.7;41;1;0;0;0;0;0;0
0;116.565051177078;11.1803398874989;90;55;1;1;1;0;0;0;0
0;132.495949158393;24.276943794473;82.1;66.4;0;0;0;0;0;0;0
0;100.693241081916;38.2644743855185;62.4;57.1;0;0;0;0;0;0;1
0;107.987334652061;16.1913557184073;84.6;55;0;1;1;0;0;0;1
0;72.189503612078;23.2124966343562;77.9;42.9;0;0;0;0;0;0;0
0;93.7313969991605;9.21954445729289;90.8;50.6;1;1;1;0;0;0;0
0;154.885165113855;10.6023582282434;95.5;59.6;0;1;1;0;0;0;0
0;136.847610265995;15.3521985396229;89.5;61.2;0;1;0;0;0;0;0
1;78.4653793463553;25.0049995001;75.5;45;0;0;0;0;0;0;0
0;33.0379486023338;17.0581358887775;90.7;35.7;0;0;0;0;0;0;0
1;53.4033710905608;12.580143083447;89.9;42.5;1;1;1;0;0;0;0
0;128.308735567448;12.7440182046323;90;57.9;0;0;0;0;0;0;0
0;165.606407031509;23.3323809329438;94.2;72.6;0;0;0;0;0;0;0
