2017-01-15 19:03:56,604 - INFO    - START
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:106: RuntimeWarning: overflow encountered in exp
  return 1/(1+np.exp(-values))
2017-01-15 20:24:02,783 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 1 -> 0.00956911099509 (445.0 goals/400.271425104 expg)
2017-01-15 20:26:11,129 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.1 -> 0.00306171539768 (445.0 goals/433.883311946 expg)
2017-01-15 20:28:21,175 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.01 -> 0.00282359444286 (445.0 goals/435.627495986 expg)
2017-01-15 20:30:32,646 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.001 -> 0.00279994987285 (445.0 goals/435.801733522 expg)
2017-01-15 20:32:10,492 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.0001 -> 0.00279759223076 (445.0 goals/435.819112143 expg)
2017-01-15 20:33:52,964 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 1e-05 -> 0.00279735653864 (445.0 goals/435.820849521 expg)
2017-01-15 20:33:55,959 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 1 -> 0.0259091559784 (445.0 goals/566.109721612 expg)
2017-01-15 20:33:58,846 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.1 -> 0.0264238188967 (445.0 goals/568.515463639 expg)
2017-01-15 20:34:01,870 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.01 -> 0.0264753693115 (445.0 goals/568.756431064 expg)
2017-01-15 20:34:04,774 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.001 -> 0.0264805251647 (445.0 goals/568.780531601 expg)
2017-01-15 20:34:07,723 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.0001 -> 0.0264810407581 (445.0 goals/568.782941693 expg)
2017-01-15 20:34:10,752 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 1e-05 -> 0.0264810923176 (445.0 goals/568.783182702 expg)
2017-01-15 20:34:23,874 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 1 -> 0.00525837379103 (445.0 goals/469.579838511 expg)
2017-01-15 20:34:36,809 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.1 -> 0.00666173776713 (445.0 goals/476.139722086 expg)
2017-01-15 20:34:49,614 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.01 -> 0.00679990680942 (445.0 goals/476.785579354 expg)
2017-01-15 20:35:02,812 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.001 -> 0.00681370214205 (445.0 goals/476.850064247 expg)
2017-01-15 20:35:15,372 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.0001 -> 0.00681508145971 (445.0 goals/476.856511728 expg)
2017-01-15 20:35:28,226 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 1e-05 -> 0.00681521938932 (445.0 goals/476.857156466 expg)
2017-01-15 20:35:53,684 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 1 -> 0.00318316466241 (445.0 goals/431.642217587 expg)
2017-01-15 20:36:18,764 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.1 -> 0.00212911656448 (445.0 goals/442.772885015 expg)
2017-01-15 20:36:43,614 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.01 -> 0.00208179836908 (445.0 goals/443.852741287 expg)
2017-01-15 20:37:08,628 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.001 -> 0.00207708215199 (445.0 goals/443.960384219 expg)
2017-01-15 20:37:33,872 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.0001 -> 0.00207661068657 (445.0 goals/443.971145078 expg)
2017-01-15 20:37:59,067 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 1e-05 -> 0.00207656354159 (445.0 goals/443.97222113 expg)
2017-01-15 20:38:47,934 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 1 -> 0.00889995559969 (445.0 goals/403.398181829 expg)
2017-01-15 20:39:36,574 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.1 -> 0.00463170898332 (445.0 goals/423.349669507 expg)
2017-01-15 20:40:25,951 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.01 -> 0.00424188341252 (445.0 goals/425.171869649 expg)
2017-01-15 20:41:16,978 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.001 -> 0.00420327537343 (445.0 goals/425.352339016 expg)
2017-01-15 20:42:06,788 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.0001 -> 0.0041994183062 (445.0 goals/425.370368486 expg)
2017-01-15 20:42:55,650 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 1e-05 -> 0.00419903263683 (445.0 goals/425.372171259 expg)
2017-01-15 20:44:36,435 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 1 -> 0.0125151040933 (445.0 goals/386.499543271 expg)
