2017-02-26 21:20:54,938 - INFO    - START
project/nn_xval.py:47: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))

2017-02-26 21:38:56,098 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:21,113 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:45,348 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:46,518 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:47,629 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:48,759 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:49,904 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:51,040 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:52,186 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 100, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:55,725 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:39:59,447 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:02,959 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:06,406 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:09,848 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:13,407 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 500, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:20,105 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:26,521 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:32,886 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
