"start","day","name","home_avg","away_avg"
1934,24,"SC Nîmois",0,1.5
1934,24,"SC Nîmois",0,0
1934,24,"SC Nîmois",0,0.5
1934,24,"SC Nîmois",0,0.5
1934,24,"SC Nîmois",0,1.5
1934,24,"Olympique d'Alès",3,1.5
1934,24,"Olympique d'Alès",3,0
1934,24,"Olympique d'Alès",3,0.5
1934,24,"Olympique d'Alès",3,1.5
1934,24,"Olympique d'Alès",3,0
1934,24,"Olympique d'Alès",3,0
1934,25,"AS Red Star 93",0.5,1
1934,25,"AS Red Star 93",0.5,0
1934,25,"AS Red Star 93",0.5,1.5
1934,25,"AS Red Star 93",0.5,1.5
1934,25,"AS Red Star 93",0.5,0.5
1934,25,"AS Red Star 93",0.5,0.5
1934,26,"FC Mulhouse",1.5,0
1934,26,"FC Mulhouse",1.5,1.5
1934,26,"FC Antibes",1.5,0
1934,26,"FC Antibes",1.5,0
1934,26,"FC Antibes",1.5,1.5
1934,26,"FC Antibes",1.5,1.5
1934,26,"FC Antibes",1.5,0.5
1934,26,"Olympique de Marseille",2,0.5
1934,26,"Olympique de Marseille",2,1.5
1934,26,"Olympique de Marseille",2,2
1934,26,"FC Mulhouse",1.5,0
1934,26,"FC Antibes",1.5,0
1934,26,"FC Mulhouse",1.5,3
1934,26,"Olympique de Marseille",2,0
1934,26,"Olympique de Marseille",2,1.5
1934,27,"EAC Roubaix",1.5,1.5
1934,27,"EAC Roubaix",1.5,0.5
1934,27,"EAC Roubaix",1.5,1
1934,27,"EAC Roubaix",1.5,3
1934,27,"EAC Roubaix",1.5,1.5
1934,27,"EAC Roubaix",1.5,3
1934,28,"AS Red Star 93",0,0.5
1934,28,"AS Cannes",3,1
1934,28,"AS Cannes",3,2
1934,28,"AS Cannes",3,0
1934,28,"AS Cannes",3,0
1934,28,"AS Cannes",3,0.5
1934,28,"AS Cannes",3,1.5
1934,28,"Stade Rennais FC",1.5,0
1934,28,"Stade Rennais FC",1.5,1
1934,28,"Stade Rennais FC",1.5,0
1934,28,"Stade Rennais FC",1.5,0
1934,28,"Stade Rennais FC",1.5,0
1934,28,"Stade Rennais FC",1.5,0
1934,28,"Olympique Lillois",1.5,2
1934,28,"AS Red Star 93",0,0.5
1934,28,"AS Red Star 93",0,1
1934,28,"AS Red Star 93",0,1.5
1934,28,"AS Red Star 93",0,1.5
1934,28,"AS Red Star 93",0,0
1934,28,"Olympique Lillois",1.5,0
1934,28,"Olympique Lillois",1.5,0
1934,28,"Olympique Lillois",1.5,1.5
1934,29,"SC Nîmois",1.5,1.5
1934,29,"SC Nîmois",1.5,0.5
1934,29,"SC Nîmois",1.5,0
1934,29,"SC Nîmois",1.5,0
1934,29,"SC Nîmois",1.5,0
1934,29,"SC Nîmois",1.5,0
1934,29,"Stade Rennais FC",3,0
1934,29,"Stade Rennais FC",3,0
1934,29,"Stade Rennais FC",3,1
1934,29,"Stade Rennais FC",3,0
1934,29,"AS Cannes",3,0.5
1934,29,"AS Cannes",3,0
1934,29,"AS Cannes",3,0
1934,29,"AS Cannes",3,2
1934,29,"AS Cannes",3,1.5
1934,29,"AS Cannes",3,1
1934,29,"SC Nîmois",1.5,1.5
1934,29,"SC Nîmois",1.5,0.5
1934,29,"Stade Rennais FC",3,0
1934,29,"Stade Rennais FC",3,0
1935,5,"Olympique Lillois",3,1.5
1935,5,"Olympique Lillois",3,2
1935,5,"Olympique Lillois",3,0.5
1935,5,"Olympique Lillois",3,1
1935,5,"Olympique Lillois",3,0.5
1935,5,"Olympique Lillois",3,0.5
1935,6,"Olympique Lillois",3,1
1935,6,"Olympique Lillois",3,2
1935,6,"Olympique Lillois",3,0.5
1935,6,"Olympique Lillois",3,0.5
1935,6,"Olympique Lillois",3,0.5
1935,6,"Olympique Lillois",3,1.5
1935,8,"SC Fives",1.5,1.5
1935,8,"Valenciennes FC",3,0
1935,8,"FC Metz",3,0
1935,8,"FC Metz",3,0.5
1935,8,"FC Antibes",1.5,0.5
1935,8,"FC Antibes",1.5,1.5
1935,8,"SC Fives",1.5,1.5
1935,8,"SC Fives",1.5,0
1935,8,"SC Fives",1.5,3
1935,8,"SC Fives",1.5,0
1935,10,"FC Mulhouse",1.5,0
1935,10,"FC Mulhouse",1.5,0
1935,10,"FC Mulhouse",1.5,0
1935,10,"FC Mulhouse",1.5,1.5
1935,11,"SC Fives",1.5,1.5
1935,11,"SC Fives",1.5,3
1935,11,"SC Fives",1.5,0
1935,11,"SC Fives",1.5,0
1935,11,"RC Strasbourg",3,0.5
1935,11,"RC Strasbourg",3,1.5
1935,11,"FC Metz",2,0.5
1935,11,"FC Metz",2,0
1935,11,"SC Fives",1.5,1.5
1935,12,"Olympique de Marseille",1.5,0.5
1935,12,"Olympique de Marseille",1.5,1.5
1935,13,"Olympique Lillois",3,1
1935,13,"Olympique Lillois",3,0.5
1935,13,"Olympique Lillois",3,1.5
1935,13,"Olympique Lillois",3,0.5
1935,13,"FC Antibes",2,0.5
1935,13,"Olympique Lillois",3,0.5
